reward,action,step
17.481419999999996,8.740709999999998,0
0.0,0.0,1
15.6670605,7.83353025,2
0.0,0.0,3
-15.873806250000001,-15.873806250000001,4
-13.09635,-13.09635,5
-7.467862499999999,-7.467862499999999,6
1.32435,1.32435,7
0.0,0.0,8
0.0,0.0,9
0.0,0.0,10
0.0,0.0,11
0.0,0.0,12
19.891737,9.9458685,13
0.0,0.0,14
0.0,0.0,15
0.0,0.0,16
0.0,0.0,17
0.0,0.0,18
0.0,0.0,19
0.0,0.0,20
31.691695499999998,10.563898499999999,21
34.4963745,11.498791500000001,22
0.0,0.0,23
0.0,0.0,24
0.0,0.0,25
0.0,0.0,26
-23.470425,-11.7352125,27
-18.743231249999997,-18.743231249999997,28
-22.05410625,-11.027053125,29
0.0,0.0,30
0.0,0.0,31
0.0,0.0,32
0.0,0.0,33
55.384316999999996,13.846079249999999,34
59.18520149999999,14.796300374999998,35
62.24444999999999,15.561112499999998,36
0.0,0.0,37
0.0,0.0,38
0.0,0.0,39
0.0,0.0,40
0.0,0.0,41
0.0,0.0,42
0.0,0.0,43
0.0,0.0,44
0.0,0.0,45
0.0,0.0,46
0.0,0.0,47
0.0,0.0,48
0.0,0.0,49
0.0,0.0,50
-49.79188125,-16.597293750000002,51
-35.2792125,-17.63960625,52
-32.20745625,-16.103728125,53
0.0,0.0,54
0.0,0.0,55
0.0,0.0,56
46.36549349999999,15.455164499999997,57
52.974,13.2435,58
58.509783,14.62744575,59
0.0,0.0,60
0.0,0.0,61
0.0,0.0,62
0.0,0.0,63
-48.79861875,-16.26620625,64
59.06601,14.7665025,65
0.0,0.0,66
0.0,0.0,67
0.0,0.0,68
0.0,0.0,69
0.0,0.0,70
0.0,0.0,71
0.0,0.0,72
0.0,0.0,73
0.0,0.0,74
-39.16029375,-19.580146875,75
-31.122225000000004,-15.561112500000002,76
-51.5025,-17.1675,77
0.0,0.0,78
78.75909449999999,13.126515749999998,79
79.10342549999999,13.183904249999998,80
0.0,0.0,81
83.089719,13.8482865,82
0.0,0.0,83
0.0,0.0,84
0.0,0.0,85
0.0,0.0,86
0.0,0.0,87
0.0,0.0,88
0.0,0.0,89
0.0,0.0,90
0.0,0.0,91
0.0,0.0,92
0.0,0.0,93
0.0,0.0,94
0.0,0.0,95
0.0,0.0,96
0.0,0.0,97
0.0,0.0,98
-53.17633125,-17.72544375,99
-49.663125,-16.554375,100
-54.371925,-18.123974999999998,101
0.0,0.0,102
72.83924999999999,14.567849999999998,103
73.501425,14.700285,104
75.620385,15.124077,105
0.0,0.0,106
0.0,0.0,107
0.0,0.0,108
0.0,0.0,109
0.0,0.0,110
0.0,0.0,111
0.0,0.0,112
0.0,0.0,113
0.0,0.0,114
0.0,0.0,115
0.0,0.0,116
0.0,0.0,117
0.0,0.0,118
0.0,0.0,119
0.0,0.0,120
0.0,0.0,121
0.0,0.0,122
0.0,0.0,123
-59.7796875,-19.9265625,124
-72.6553125,-18.163828125,125
0.0,0.0,126
75.355515,15.071102999999999,127
0.0,0.0,128
65.88641249999999,13.177282499999999,129
0.0,0.0,130
0.0,0.0,131
0.0,0.0,132
0.0,0.0,133
0.0,0.0,134
0.0,0.0,135
0.0,0.0,136
0.0,0.0,137
0.0,0.0,138
0.0,0.0,139
0.0,0.0,140
0.0,0.0,141
0.0,0.0,142
0.0,0.0,143
0.0,0.0,144
0.0,0.0,145
0.0,0.0,146
-61.89496875,-20.63165625,147
-58.86,-19.62,148
-60.3682875,-20.1227625,149
0.0,0.0,150
69.72702749999999,13.945405499999998,151
78.13664999999999,13.022774999999998,152
0.0,0.0,153
80.917785,13.4862975,154
0.0,0.0,155
0.0,0.0,156
0.0,0.0,157
0.0,0.0,158
0.0,0.0,159
0.0,0.0,160
0.0,0.0,161
0.0,0.0,162
0.0,0.0,163
0.0,0.0,164
0.0,0.0,165
0.0,0.0,166
0.0,0.0,167
0.0,0.0,168
0.0,0.0,169
0.0,0.0,170
-61.82139375,-20.60713125,171
-60.6258,-20.2086,172
-61.26958125,-20.42319375,173
0.0,0.0,174
87.751431,14.6252385,175
99.32624999999999,14.189464285714283,176
103.4184915,14.774070214285715,177
0.0,0.0,178
0.0,0.0,179
0.0,0.0,180
0.0,0.0,181
0.0,0.0,182
0.0,0.0,183
0.0,0.0,184
0.0,0.0,185
0.0,0.0,186
0.0,0.0,187
0.0,0.0,188
0.0,0.0,189
0.0,0.0,190
0.0,0.0,191
0.0,0.0,192
0.0,0.0,193
0.0,0.0,194
-50.63799375,-16.87933125,195
